Year,Total mobile subscription,Country
2009,73.965,Japan
2010,76.311,Japan
2011,81.935,Japan
2012,85.408,Japan
2013,111.978,Japan
2014,124.144,Japan
2015,138.611,Japan
2016,152.398,Japan
2009,6.13,Hungary
2010,7.775,Hungary
2011,17.197,Hungary
2012,23.159,Hungary
2013,26.476,Hungary
2014,34.267,Hungary
2015,40.096,Hungary
2016,44.808,Hungary
2009,32.075,UK
2010,43.461,UK
2011,53.579,UK
2012,64.961,UK
2013,74.374,UK
2014,82.146,UK
2015,90.282,UK
2016,89.426,UK
2009,18.276,Latvia
2010,36.365,Latvia
2011,40.921,Latvia
2012,54.462,Latvia
2013,74.297,Latvia
2014,73.429,Latvia
2015,80.08,Latvia
2016,79.337,Latvia
