Year,Days (000s),Sector
1996,980,Public
1997,72,Public
1998,117,Public
1999,71,Public
2000,363,Public
2001,395,Public
2002,1125,Public
2003,369,Public
2004,743,Public
2005,99,Public
2006,656,Public
2007,1002,Public
2008,711,Public
2009,368,Public
2010,314,Public
2011,1276,Public
2012,198,Public
2013,362,Public
2014,716,Public
2015,88,Public
2016,243,Public
2017,43,Public
1996,323,Private
1997,164,Private
1998,163,Private
1999,171,Private
2000,135,Private
2001,128,Private
2002,201,Private
2003,129,Private
2004,165,Private
2005,61,Private
2006,96,Private
2007,36,Private
2008,48,Private
2009,90,Private
2010,53,Private
2011,115,Private
2012,51,Private
2013,80,Private
2014,74,Private
2015,79,Private
2016,78,Private
2017,233,Private
